model,class,accuracy_percent,correct,total
VGG16,airplane,80.10000000000001,801,1000
VGG16,automobile,86.1,861,1000
VGG16,bird,68.2,682,1000
VGG16,cat,51.7,517,1000
VGG16,deer,79.0,790,1000
VGG16,dog,69.39999999999999,694,1000
VGG16,frog,84.39999999999999,844,1000
VGG16,horse,78.60000000000001,786,1000
VGG16,ship,87.7,877,1000
VGG16,truck,85.9,859,1000
AlexNet,airplane,86.4,864,1000
AlexNet,automobile,88.6,886,1000
AlexNet,bird,69.19999999999999,692,1000
AlexNet,cat,80.60000000000001,806,1000
AlexNet,deer,68.8,688,1000
AlexNet,dog,67.7,677,1000
AlexNet,frog,85.1,851,1000
AlexNet,horse,80.9,809,1000
AlexNet,ship,85.1,851,1000
AlexNet,truck,88.7,887,1000
GoogLeNet,airplane,84.0,840,1000
GoogLeNet,automobile,94.39999999999999,944,1000
GoogLeNet,bird,82.6,826,1000
GoogLeNet,cat,67.2,672,1000
GoogLeNet,deer,83.3,833,1000
GoogLeNet,dog,66.7,667,1000
GoogLeNet,frog,95.3,953,1000
GoogLeNet,horse,76.6,766,1000
GoogLeNet,ship,93.10000000000001,931,1000
GoogLeNet,truck,78.7,787,1000
