image_variant,model,true_class,top1_class,top1_probability_percent,is_correct,topk_predictions
blur_1,VGG16,ship,ship,45.47211825847626,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.4547211825847626, 'probability_percent': 45.47211825847626}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.27290645241737366, 'probability_percent': 27.290645241737366}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.23589426279067993, 'probability_percent': 23.589426279067993}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.035887710750103, 'probability_percent': 3.5887710750102997}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.0003644375246949494, 'probability_percent': 0.03644375246949494}]"
blur_1,AlexNet,ship,ship,56.628865003585815,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.5662886500358582, 'probability_percent': 56.628865003585815}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.10369902849197388, 'probability_percent': 10.369902849197388}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.07079336792230606, 'probability_percent': 7.079336792230606}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.0690164715051651, 'probability_percent': 6.90164715051651}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.0441635437309742, 'probability_percent': 4.41635437309742}]"
blur_1,GoogLeNet,ship,ship,51.460570096969604,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.514605700969696, 'probability_percent': 51.460570096969604}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.3134693205356598, 'probability_percent': 31.34693205356598}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.09543167054653168, 'probability_percent': 9.543167054653168}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 0.056929320096969604, 'probability_percent': 5.6929320096969604}, {'rank': 5, 'class_id': 5, 'class_name': 'dog', 'probability': 0.007295157294720411, 'probability_percent': 0.7295157294720411}]"
blur_2,VGG16,ship,ship,94.88747715950012,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9488747715950012, 'probability_percent': 94.88747715950012}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.03201553598046303, 'probability_percent': 3.201553598046303}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.00511266989633441, 'probability_percent': 0.511266989633441}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.004205208737403154, 'probability_percent': 0.42052087374031544}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.003589603118598461, 'probability_percent': 0.3589603118598461}]"
blur_2,AlexNet,ship,ship,30.26893436908722,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.3026893436908722, 'probability_percent': 30.26893436908722}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.10655122250318527, 'probability_percent': 10.655122250318527}, {'rank': 3, 'class_id': 3, 'class_name': 'cat', 'probability': 0.10605048388242722, 'probability_percent': 10.605048388242722}, {'rank': 4, 'class_id': 2, 'class_name': 'bird', 'probability': 0.1025751531124115, 'probability_percent': 10.25751531124115}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.08430053293704987, 'probability_percent': 8.430053293704987}]"
blur_2,GoogLeNet,ship,airplane,29.42812442779541,False,"[{'rank': 1, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.2942812442779541, 'probability_percent': 29.42812442779541}, {'rank': 2, 'class_id': 4, 'class_name': 'deer', 'probability': 0.21282348036766052, 'probability_percent': 21.282348036766052}, {'rank': 3, 'class_id': 2, 'class_name': 'bird', 'probability': 0.20985345542430878, 'probability_percent': 20.985345542430878}, {'rank': 4, 'class_id': 8, 'class_name': 'ship', 'probability': 0.1345742642879486, 'probability_percent': 13.45742642879486}, {'rank': 5, 'class_id': 3, 'class_name': 'cat', 'probability': 0.06514426320791245, 'probability_percent': 6.5144263207912445}]"
bright,VGG16,ship,ship,71.02130651473999,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.7102130651473999, 'probability_percent': 71.02130651473999}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.2063218206167221, 'probability_percent': 20.63218206167221}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.06973782181739807, 'probability_percent': 6.973782181739807}, {'rank': 4, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.013727273792028427, 'probability_percent': 1.3727273792028427}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 1.0826067153857366e-08, 'probability_percent': 1.0826067153857366e-06}]"
bright,AlexNet,ship,ship,51.45099759101868,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.5145099759101868, 'probability_percent': 51.45099759101868}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.32901641726493835, 'probability_percent': 32.901641726493835}, {'rank': 3, 'class_id': 9, 'class_name': 'truck', 'probability': 0.08307994902133942, 'probability_percent': 8.307994902133942}, {'rank': 4, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.04404676705598831, 'probability_percent': 4.404676705598831}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 0.012834771536290646, 'probability_percent': 1.2834771536290646}]"
bright,GoogLeNet,ship,ship,99.21119213104248,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.9921119213104248, 'probability_percent': 99.21119213104248}, {'rank': 2, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.007498543709516525, 'probability_percent': 0.7498543709516525}, {'rank': 3, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.00025449899840168655, 'probability_percent': 0.025449899840168655}, {'rank': 4, 'class_id': 3, 'class_name': 'cat', 'probability': 5.6611315812915564e-05, 'probability_percent': 0.005661131581291556}, {'rank': 5, 'class_id': 9, 'class_name': 'truck', 'probability': 5.2350420446600765e-05, 'probability_percent': 0.0052350420446600765}]"
dark,VGG16,ship,ship,80.37538528442383,True,"[{'rank': 1, 'class_id': 8, 'class_name': 'ship', 'probability': 0.8037538528442383, 'probability_percent': 80.37538528442383}, {'rank': 2, 'class_id': 1, 'class_name': 'automobile', 'probability': 0.11124292761087418, 'probability_percent': 11.124292761087418}, {'rank': 3, 'class_id': 0, 'class_name': 'airplane', 'probability': 0.06900212168693542, 'probability_percent': 6.9002121686935425}, {'rank': 4, 'class_id': 9, 'class_name': 'truck', 'probability': 0.0159436147660017, 'probability_percent': 1.5943614766001701}, {'rank': 5, 'class_id': 6, 'class_name': 'frog', 'probability': 3.256262789363973e-05, 'probability_percent': 0.003256262789363973}]"
